t,P_mtp_toes_r,y,z,P_subt_calc_r,y,z,P_Ankle_tal_r,y,z,P_KneeJ_r,y,z,P_HipJ_r,y,z,P_Pelvis_C,y,z,P_Torso,y,z,P_neck,y,z,P_sho_r,y,z,P_elb_r,y,z,P_hand_r,y,z,P_sho_l,y,z,P_elb_l,y,z,P_hand_l,y,z,P_HipJ_l,y,z,P_KneeJ_l,y,z,P_Ankle_tal_l,y,z,P_subt_calc_l,y,z,P_mtp_toes_l,y,z,Pc_total,y,z,acc_Total_COM,y,z,pelvis Tilt - z,pelvis List - x,pelvis rotation - y,hip flexion_r - z,hip adduction_r - x,hip rotation_r - y,knee angle_r - z,ankle_angle_r - z,subtalar_anle_r - y,hip flexion_l - z,hip adduction_l - x,hip rotation_l - y,knee angle_l - z,ankle_angle_l - z,subtalar_anle_l - y,lumbar_extension_z,lumbar_bending_x,lumbar_rotation_y,arm_flex_r_z,arm_add_r_x,arm_rot_r_y,elbow_flex_r_z,pro_sup_r_y,wrist_flex_r_z,wrist_dev_r_x,arm_flex_l_z,arm_add_l_x,arm_rot_l_y,elbow_flex_l_z,pro_sup_l_y,wrist_flex_l_z,wrist_dev_l_x,Sailangle-z,Sailangle-x,Sailangle-y,Boardangle-z,Boardangle-x,Boardangle-y,sailing speed,sailing direction,Upwind - 1_ Downwind - 0,sidewind R-1_ L-0,wind speed,wind direction
128.1833,0,0,0,-0.1787969,0.002323609,-0.000928178,-0.1299591,0.04414199,-0.009121354,-0.1129909,0.4402324,-0.01299494,-0.09791118,0.8495372,-0.01386176,-0.04218499,0.9294609,-0.09004299,-0.1458379,1.007069,-0.09402607,-0.1627624,1.378088,-0.103004,-0.1668645,1.382012,0.06690116,0.01738543,1.173769,0.1369278,0.2224907,1.202044,-0.00589139,-0.1586602,1.374163,-0.2729092,0.02852079,1.163116,-0.3242839,0.22653,1.19818,-0.173195,-0.09294622,0.8482423,-0.1682965,-0.112001,0.4394508,-0.1505964,-0.1290057,0.04359179,-0.1365619,-0.1790645,0.003183018,-0.1444541,-0.000528258,-0.005453876,-0.1394733,-0.1556422,0.9265066,-0.07498903,-0.0605601,-0.07687638,0.002300139,2.214497,0.02562569,-2.29723,-3.657017,0.06563646,1.843647,0.6720309,2.161545,0.3668126,-4.139186,1.836673,0.007206874,0.1537371,-4.32E-10,0,0.961053,-0.8162441,0.5036767,37.48595,-15.35196,37.48595,78.1917,44.37128,0,0,37.48595,-15.35196,37.48595,78.1917,44.37128,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.2,0,0,0,-0.178797,0.002316897,-0.000942487,-0.1299599,0.04413805,-0.009126636,-0.1131165,0.4402348,-0.01288931,-0.09821028,0.8495459,-0.01364284,-0.04249513,0.9295039,-0.08979601,-0.1461714,1.00708,-0.09378038,-0.163,1.378106,-0.102685,-0.1671767,1.381994,0.06721924,0.01701991,1.173714,0.1372787,0.2221975,1.201942,-0.005445899,-0.1588233,1.374217,-0.2725892,0.0283575,1.16316,-0.3239227,0.2263099,1.198113,-0.1727339,-0.093217,0.8482872,-0.168077,-0.1121783,0.4394907,-0.1503927,-0.1290885,0.04362705,-0.1363732,-0.179136,0.003206259,-0.1442754,-0.000598511,-0.005387049,-0.1392634,-0.1558748,0.9265228,-0.0747497,-0.1875109,-0.09676583,-0.162335,2.224927,0.02613535,-2.304833,-3.650625,0.06854274,1.854182,0.6780589,2.143369,0.3509547,-4.143065,1.847952,0.007475559,0.1532607,-4.26E-10,0,0.928764,-0.8184847,0.4889259,37.49427,-15.35131,37.49427,78.1802,44.37754,0,0,37.49427,-15.35131,37.49427,78.1802,44.37754,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.2167,0,0,0,-0.1787969,0.002315837,-0.000959407,-0.1299593,0.04413714,-0.009139518,-0.1130707,0.4402321,-0.01289428,-0.09803494,0.8495391,-0.01363714,-0.04228706,0.9294942,-0.08976951,-0.1459562,1.007078,-0.09378924,-0.1627211,1.378106,-0.1027102,-0.1670081,1.381997,0.0671912,0.01714104,1.173716,0.1373702,0.2224181,1.201879,-0.005223731,-0.158434,1.374215,-0.2726116,0.02877799,1.163153,-0.3238156,0.2266388,1.198048,-0.1724937,-0.09298739,0.8482824,-0.1680696,-0.111964,0.4394857,-0.1504078,-0.1289032,0.04362256,-0.13641,-0.1789518,0.003205443,-0.1443244,-0.000415873,-0.005399884,-0.1392759,-0.1556627,0.9265201,-0.07475976,0.1063407,-0.07564878,0.168105,2.231281,0.02704149,-2.315361,-3.664231,0.06823823,1.874353,0.6668551,2.15015,0.3494554,-4.140196,1.846369,-0.001626545,0.1553311,-4.21E-10,0,0.9237585,-0.8212431,0.4718372,37.50301,-15.35064,37.50301,78.16815,44.38408,0,0,37.50301,-15.35064,37.50301,78.16815,44.38408,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.2333,0,0,0,-0.1787969,0.002302522,-0.000989463,-0.1299609,0.04412928,-0.009151362,-0.1133153,0.4402365,-0.01268775,-0.09860595,0.8495551,-0.01320721,-0.04290738,0.9296099,-0.08927086,-0.1466279,1.007128,-0.09323216,-0.1635202,1.378159,-0.1017839,-0.1678258,1.381879,0.06812088,0.01642001,1.173618,0.1381065,0.2217036,1.201964,-0.004441574,-0.1592146,1.374439,-0.2716886,0.0281071,1.163521,-0.3230803,0.2259421,1.198302,-0.1716989,-0.09354961,0.8484288,-0.1676403,-0.1122709,0.4396057,-0.1503218,-0.1289718,0.04372083,-0.1366566,-0.1789975,0.003280579,-0.1445973,-0.000455702,-0.005222504,-0.1395843,-0.1562392,0.9265797,-0.07422837,0.2642448,0.01342772,0.3163899,2.239724,0.03393854,-2.324959,-3.656282,0.05254695,1.87713,0.6770278,2.114773,0.3181819,-4.142522,1.845484,-0.01414817,0.1564916,-4.15E-10,0,0.9050424,-0.8118697,0.468622,37.512,-15.34994,37.512,78.15581,44.3907,0,0,37.512,-15.34994,37.512,78.15581,44.3907,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.25,0,0,0,-0.1787968,0.002320299,-0.000958689,-0.1299583,0.04413987,-0.00914164,-0.1127861,0.4402226,-0.01289616,-0.09762466,0.8495235,-0.01364383,-0.04179362,0.9294399,-0.08975591,-0.1454024,1.007103,-0.09380204,-0.1619662,1.378141,-0.1026635,-0.1663163,1.382005,0.06723689,0.01773473,1.173647,0.1374446,0.2230838,1.201687,-0.005069492,-0.1576161,1.374278,-0.2725639,0.02954257,1.16316,-0.3237283,0.227366,1.197883,-0.1723187,-0.09253294,0.8482707,-0.1680748,-0.1115785,0.4394763,-0.1504332,-0.128584,0.04361531,-0.1364549,-0.1786398,0.003207074,-0.1443687,-0.000105141,-0.005428733,-0.1393299,-0.155129,0.9265296,-0.07474679,0.1416633,0.02272609,0.1766633,2.215737,0.02680366,-2.335008,-3.638243,0.06510448,1.890699,0.6894691,2.190661,0.3501515,-4.105562,1.845831,-0.02105437,0.1552316,-4.13E-10,0,0.9365237,-0.8138106,0.466103,37.51426,-15.34977,37.51426,78.15264,44.39242,0,0,37.51426,-15.34977,37.51426,78.15264,44.39242,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.2667,0,0,0,-0.1787969,0.002329166,-0.000920529,-0.1299581,0.04414548,-0.009118629,-0.1126869,0.4402227,-0.01299707,-0.09751345,0.8495221,-0.01387552,-0.04165281,0.9294061,-0.08999984,-0.1452425,1.007093,-0.0940798,-0.1617106,1.378134,-0.1029994,-0.1660572,1.382026,0.06690047,0.01794787,1.173636,0.1371374,0.2233025,1.201594,-0.005384711,-0.157364,1.374243,-0.2728993,0.02974606,1.163074,-0.3240323,0.2275812,1.197763,-0.1726302,-0.0924006,0.8482294,-0.1683055,-0.1114507,0.4394386,-0.1505856,-0.1284572,0.04358034,-0.1365315,-0.1785127,0.00317062,-0.1444397,2.17E-05,-0.005464385,-0.1393915,-0.1549547,0.9265173,-0.07498166,0.04019469,0.02066321,0.08771708,2.213827,0.02486875,-2.345165,-3.626275,0.06132204,1.898447,0.7016581,2.204707,0.3684688,-4.092335,1.84232,-0.0264187,0.1547745,-4.12E-10,0,0.9353802,-0.8080508,0.4746271,37.51618,-15.34962,37.51618,78.14993,44.39391,0,0,37.51618,-15.34962,37.51618,78.14993,44.39391,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.2833,0,0,0,-0.178797,0.002331555,-0.000903309,-0.1299584,0.0441471,-0.009106859,-0.1127047,0.4402247,-0.013021,-0.0975949,0.849526,-0.01393771,-0.04172786,0.9294052,-0.09006239,-0.1453178,1.007091,-0.09415728,-0.1617221,1.378135,-0.1030792,-0.1660516,1.382029,0.06682107,0.01793056,1.173614,0.1370416,0.2232769,1.201528,-0.005501131,-0.1573926,1.374241,-0.2729794,0.02968236,1.163045,-0.3241274,0.2275387,1.197695,-0.172744,-0.09246776,0.8482227,-0.1683671,-0.1114511,0.4394303,-0.1506117,-0.1283914,0.04357043,-0.1365232,-0.1784407,0.003151777,-0.1444252,9.55E-05,-0.005453297,-0.1393863,-0.1549846,0.9265159,-0.07503805,0.05718587,0.01008468,0.06612919,2.217018,0.0225595,-2.352114,-3.617825,0.06005341,1.903696,0.7078187,2.202041,0.373829,-4.083201,1.843202,-0.03474323,0.1545377,-4.11E-10,0,0.9250848,-0.8044702,0.4853641,37.51807,-15.34947,37.51807,78.14726,44.39538,0,0,37.51807,-15.34947,37.51807,78.14726,44.39538,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.3,0,0,0,-0.178797,0.002332387,-0.00089681,-0.1299585,0.0441477,-0.009102151,-0.1126959,0.4402249,-0.01301922,-0.09762389,0.8495272,-0.01394039,-0.04174881,0.9294051,-0.09006049,-0.1453372,1.007093,-0.09416505,-0.1617011,1.378138,-0.1030861,-0.1660297,1.382032,0.06681416,0.01793677,1.173603,0.1370328,0.2232862,1.201488,-0.005510977,-0.1573726,1.374244,-0.2729864,0.02968595,1.163033,-0.3241345,0.227547,1.197655,-0.1727507,-0.09248299,0.848223,-0.1683693,-0.1114001,0.4394286,-0.1505891,-0.1282737,0.04356667,-0.1364768,-0.178317,0.003139298,-0.1443722,0.00022101,-0.005435991,-0.139348,-0.1549742,0.9265171,-0.07503714,0.01941824,-0.000589672,0.03776172,2.219787,0.02046001,-2.356859,-3.611675,0.05980235,1.908791,0.7141852,2.203198,0.3744558,-4.072734,1.846146,-0.04441722,0.1541609,-4.10E-10,0,0.9198477,-0.8039374,0.4906824,37.51997,-15.34932,37.51997,78.14457,44.39686,0,0,37.51997,-15.34932,37.51997,78.14457,44.39686,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.3167,0,0,0,-0.1787971,0.002315608,-0.000922208,-0.1299613,0.04413753,-0.00910986,-0.1133603,0.4402443,-0.01289335,-0.09867407,0.8495636,-0.01366748,-0.0428906,0.9295449,-0.08974616,-0.146562,1.007124,-0.09379695,-0.1629338,1.378176,-0.1024481,-0.1672202,1.381948,0.06745601,0.01678963,1.173491,0.1374768,0.2221046,1.201459,-0.005100171,-0.1586474,1.374404,-0.2723522,0.02842426,1.163252,-0.323695,0.2263236,1.197746,-0.1723323,-0.09354506,0.8483541,-0.1680976,-0.1120678,0.4395337,-0.1505037,-0.1285762,0.04365,-0.1365722,-0.1785847,0.003180667,-0.1444727,-3.76E-05,-0.005233996,-0.1395023,-0.1559822,0.9265658,-0.0746793,0.007151295,0.01570561,0.01597883,2.241833,0.02604912,-2.350203,-3.617745,0.04721715,1.903957,0.6739181,2.108386,0.3538259,-4.078532,1.852992,-0.05610548,0.1563514,-4.05E-10,0,0.8597046,-0.7974955,0.5001659,37.52641,-15.34882,37.52641,78.13572,44.40158,0,0,37.52641,-15.34882,37.52641,78.13572,44.40158,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.3333,0,0,0,-0.1787972,0.002320118,-0.000886636,-0.1299621,0.04414066,-0.009085016,-0.1133978,0.4402484,-0.01292824,-0.09887099,0.8495721,-0.01376775,-0.04309696,0.9295541,-0.08985273,-0.1467935,1.007098,-0.09394575,-0.1633874,1.378135,-0.1027846,-0.1677208,1.381989,0.06711645,0.01642143,1.173698,0.1372856,0.2217583,1.201696,-0.005253714,-0.159054,1.374282,-0.2726857,0.02818347,1.163238,-0.3238716,0.2260232,1.197903,-0.1724703,-0.09370621,0.8483275,-0.1681964,-0.1121761,0.4395066,-0.1505581,-0.1286271,0.04362209,-0.1365834,-0.1786286,0.003144357,-0.1444858,-8.08E-05,-0.005243004,-0.1394909,-0.1562344,0.9265489,-0.07484595,0.03487213,0.002772026,0.04899728,2.255332,0.01903023,-2.35252,-3.614939,0.05148578,1.917299,0.6903476,2.102714,0.3629876,-4.09003,1.846475,-0.06169677,0.1555322,-4.01E-10,0,0.8755758,-0.8117213,0.4988454,37.53343,-15.34828,37.53343,78.12613,44.40664,0,0,37.53343,-15.34828,37.53343,78.12613,44.40664,0,0,0,0,0,0,0,0,0,0,1,1,0,0
